"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_SDPR_2","HEK_Exosome_PRTF_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_SDPR_3","HEK_Exosome_PRTF_3","HEK_Exosome_CAV_3","HEK_Exosome_PN4.11_3","HEK_Exosome_PRKCA4_3"
"hsa-miR-25-3p",7761,4059,2375,3871,3982,1048,979,274,560,815,100,37,1939,619,2139
"hsa-miR-425-3p",26,34,21,39,13,29,10,7,10,17,3,0,18,9,26
"hsa-miR-1278-3p",4,12,9,10,5,34,6,4,3,4,0,1,7,1,15
"hsa-miR-1260a-5p",2,4,0,2,0,0,1,0,0,0,0,0,0,0,2
"hsa-miR-8086-3p",72,71,3,50,16,15,43,2,25,32,0,2,94,15,75
"hsa-miR-193a-3p",2,0,0,2,3,1,0,3,0,0,0,0,0,0,1
"hsa-miR-6720-3p",16,10,1,13,6,3,3,1,4,4,0,0,9,2,6
"hsa-miR-340-5p",1369,1414,750,1523,1041,663,373,160,480,589,85,50,1510,686,1338
"hsa-miR-320a-5p",38,133,30,111,21,43,50,4,43,75,6,0,99,23,124
"hsa-let-7b-5p",36,52,38,101,51,31,14,19,15,20,17,6,87,91,79
"hsa-miR-579-5p",3,3,0,1,5,0,1,0,0,1,0,0,4,1,2
"hsa-miR-199a-2-3p",54,47,11,47,19,5,15,4,9,18,1,0,56,5,64
"hsa-miR-181c-5p",13,7,1,6,4,5,1,0,1,5,0,0,3,3,7
"hsa-miR-1273g-3p",38,41,7,41,13,0,41,2,36,15,1,0,64,5,54
"hsa-miR-324-3p",56,63,14,66,18,14,16,2,14,19,0,0,22,7,34
"hsa-miR-3940-3p",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-362-3p",1,2,0,3,0,0,1,0,0,0,0,0,0,0,2
"hsa-miR-7704-5p",5,12,5,9,12,11,13,4,11,16,4,0,16,3,47
"hsa-miR-486-2-5p",103,60,32,62,43,19,8,4,18,15,0,0,125,14,121
"hsa-miR-100-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-125b-2-3p",136,83,34,76,30,20,30,6,19,32,1,3,69,9,62
"hsa-let-7i-3p",1,1,0,4,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-581-5p",1,0,0,1,0,0,0,0,0,2,0,0,0,0,4
"hsa-miR-378b-3p",5,8,86,5,19,2,2,2,1,1,0,0,2,0,5
"hsa-miR-147b-3p",16,11,7,9,19,1,4,1,0,2,0,0,2,3,1
"hsa-miR-29b-1-3p",19,19,13,78,6,8,5,1,3,8,2,0,14,9,7
"hsa-miR-1291-5p",15,22,0,16,0,6,10,0,9,21,0,0,5,2,7
"hsa-miR-10b-5p",11873,8288,3442,6192,4950,2500,1736,412,1337,2485,257,113,7429,1582,7299
"hsa-miR-3661-5p",2,1,2,2,0,0,3,0,0,2,0,0,0,1,2
"hsa-miR-132-5p",22,20,17,16,16,8,1,3,2,5,0,0,16,10,29
"hsa-miR-200a-5p",0,1,0,105,1,1,3,0,0,0,1,0,15,15,0
"hsa-miR-30a-5p",5838,5889,4024,6318,4564,3099,1618,291,2067,1761,213,209,5319,1821,4917
"hsa-miR-452-5p",262,232,53,251,87,14,35,6,19,40,1,0,75,9,66
"hsa-miR-660-5p",508,374,316,300,510,193,101,21,61,109,19,2,323,80,303
"hsa-miR-190b-5p",17,16,5,11,7,2,3,1,0,3,0,0,6,0,3
"hsa-miR-4661-5p",10,5,4,5,2,1,1,3,1,1,0,0,2,4,3
"hsa-miR-4521-3p",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"hsa-miR-34a-5p",178,156,102,249,138,11,29,8,6,16,6,1,147,22,79
"hsa-miR-141-3p",1,4,1,31,1,0,1,0,0,1,3,0,19,6,0
"hsa-miR-4458-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-181c-3p",8,13,13,6,17,7,0,1,1,4,0,0,8,3,15
"hsa-miR-454-3p",15,29,11,26,15,14,10,3,20,13,1,2,26,9,22
"hsa-miR-181b-1-3p",6,6,2,7,4,3,0,0,6,2,0,0,14,1,12
"hsa-miR-191-5p",1031,1474,523,1470,667,437,662,110,1129,1068,57,24,2396,363,2426
"hsa-miR-3605-3p",7,1,1,2,1,0,2,0,0,0,0,0,11,0,4
"hsa-miR-769-3p",7,3,2,8,0,3,4,0,1,1,0,0,7,1,11
"hsa-miR-942-5p",29,33,20,30,34,11,5,5,6,14,0,0,41,7,35
"hsa-miR-122-5p",379,230,229,152,452,245,202,151,56,238,39,1,280,136,644
"hsa-miR-215-5p",66,58,19,227,36,62,42,7,43,52,2,2,27,16,52
"hsa-miR-196b-3p",8,13,3,5,2,6,0,0,0,1,0,0,3,1,4
"hsa-miR-548aa-1-3p",4,8,0,11,1,5,6,0,4,2,0,0,12,4,10
"hsa-miR-941-2-3p",74,36,78,97,71,40,18,2,30,20,3,0,79,19,122
"hsa-miR-30e-5p",2481,2555,1433,2519,1704,810,562,94,718,624,79,77,1501,477,1450
"hsa-miR-6783-3p",0,1,0,1,0,0,0,1,0,2,0,0,2,0,0
"hsa-miR-1285-1-5p",298,475,18,308,39,21,274,5,139,206,1,1,276,12,227
"hsa-miR-5095-3p",13,20,3,23,3,4,13,3,12,17,1,0,43,11,48
"hsa-miR-129-2-3p",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"hsa-miR-1250-5p",118,154,56,51,70,66,27,6,11,19,3,0,57,3,26
"hsa-miR-34c-5p",455,422,202,764,332,32,88,10,16,44,9,2,178,48,182
"hsa-miR-193a-5p",218,124,62,88,86,1,12,4,2,14,1,0,96,13,55
"hsa-miR-5701-3-5p",0,1,0,2,5,0,1,0,0,0,0,0,2,4,0
"hsa-miR-2110-5p",25,27,19,12,31,10,11,3,4,7,0,0,12,9,14
"hsa-miR-126-5p",4,6,17,13,25,2,4,1,0,7,3,2,13,5,21
"hsa-miR-7851-3p",4,10,2,4,1,0,0,3,1,1,0,0,4,0,7
"hsa-miR-338-5p",56,63,10,26,13,9,6,2,2,12,1,1,51,6,37
"hsa-miR-199a-2-5p",1,4,2,4,0,1,2,0,1,0,0,0,1,0,5
"hsa-miR-1292-5p",6,1,3,14,3,4,2,1,8,8,0,0,10,2,32
"hsa-miR-1277-5p",13,10,22,13,16,2,3,2,2,8,0,0,9,3,13
"hsa-miR-30b-5p",45,31,17,102,28,9,21,4,19,22,3,4,54,38,50
"hsa-miR-941-5-3p",74,36,78,97,71,40,18,2,30,20,3,0,79,19,122
"hsa-miR-218-2-5p",5085,8254,6689,6571,7661,7596,2060,2467,1292,1833,789,168,3655,2763,6806
"hsa-miR-1295a-3p",40,15,5,17,7,0,4,0,1,5,0,0,11,1,6
"hsa-miR-550a-2-3p",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-197-3p",32,34,10,23,10,13,12,3,14,22,1,1,25,18,32
"hsa-miR-184-3p",2,4,3,2,0,1,0,0,0,4,0,0,4,0,0
"hsa-miR-1287-5p",6,10,5,12,5,1,2,0,0,5,0,1,5,1,2
"hsa-miR-17-3p",29,9,17,36,15,6,7,0,5,16,0,0,18,7,18
"hsa-miR-345-5p",139,86,52,103,53,25,18,6,29,23,5,1,71,13,56
"hsa-miR-144-3p",6,13,10,16,4,1,0,0,6,8,1,0,22,0,56
"hsa-miR-3615-3p",109,61,41,47,108,15,28,7,25,28,6,2,84,51,117
"hsa-miR-499a-5p",52,24,10,19,32,5,6,0,2,10,0,1,6,7,11
"hsa-miR-504-5p",24,19,11,26,13,3,10,0,7,11,1,0,40,8,39
