"","PC3_Exosome_GFP_4.3","PC3_Exosome_CAV1_4.3","PC3_Exosome_CAV2_4.3","PC3_Exosome_CAV3_4.3","PC3_Exosome_GFP_23.3","PC3_Exosome_CAV1_23.3","PC3_Exosome_CAV2_23.3","PC3_Exosome_CAV3_23.3","PC3_Exosome_GFP_6.3","PC3_Exosome_CAV1_6.3","PC3_Exosome_CAV2_6.3","PC3_Exosome_CAV3_6.3"
"hsa-miR-149-5p",20,53,54,91,52,86,42,84,4,3,57,12
"hsa-miR-151b-3p",179,140,62,87,20,93,23,82,5,2,49,31
"hsa-miR-33a-5p",6,7,7,9,13,16,6,7,0,0,5,3
"hsa-miR-3909-3p",1,1,4,1,3,3,3,1,1,0,4,1
"hsa-miR-28-5p",26,68,82,71,84,49,64,109,7,1,197,13
"hsa-miR-185-5p",156,131,162,153,208,163,134,234,19,14,1169,43
"hsa-let-7f-1-3p",50,17,29,12,24,14,15,30,5,0,52,9
"hsa-miR-374a-3p",194,224,45,40,100,66,57,99,35,6,27,41
"hsa-miR-378c-5p",3744,2959,2948,3912,2616,3440,2547,3649,401,80,9105,795
"hsa-miR-10a-3p",140,43,42,85,98,84,43,79,13,4,361,25
"hsa-miR-1307-5p",62,55,87,89,59,111,81,69,11,1,97,13
"hsa-miR-31-5p",345,326,228,174,487,306,293,446,35,7,1241,115
"hsa-miR-6868-3p",19,13,12,11,13,4,15,29,1,0,11,3
"hsa-miR-378f-3p",74,56,43,57,46,65,48,48,2,4,153,13
"hsa-miR-320e-3p",53,43,71,119,37,63,67,42,10,0,431,7
"hsa-miR-374b-5p",399,628,222,192,647,312,399,740,68,18,125,225
"hsa-miR-6723-3p",0,1,0,0,0,1,1,2,0,0,1,6
"hsa-let-7b-3p",64,39,74,43,45,35,41,43,16,0,187,27
"hsa-miR-193b-3p",65,39,40,53,51,70,63,67,7,1,49,12
"hsa-miR-378i-5p",1182,547,430,580,360,792,322,564,102,34,2873,205
"hsa-miR-543-3p",5,0,8,22,2,3,2,5,1,0,16,2
"hsa-miR-4461-3p",4,4,3,3,2,7,6,3,4,1,6,4
"hsa-miR-218-1-5p",1424,912,751,436,954,1329,698,1492,127,246,755,550
"hsa-miR-21-3p",300,190,124,135,127,270,152,128,35,5,370,79
"hsa-miR-193b-5p",6,1,5,8,2,3,3,5,0,0,27,1
"hsa-miR-130b-5p",36,37,35,33,41,32,17,51,8,6,126,7
"hsa-miR-29c-3p",23,18,13,10,28,16,22,43,2,1,39,5
"hsa-miR-4286-5p",4,16,14,9,21,21,23,25,1,2,7,2
"hsa-miR-625-3p",48,18,24,36,42,21,9,14,5,1,93,13
"hsa-miR-24-1-3p",5497,5089,17998,12274,13235,8287,13046,17608,682,43,22152,1664
"hsa-miR-3648-2-3p",0,1,1,2,4,1,4,1,0,0,6,0
"hsa-miR-7641-2-5p",59,60,64,54,51,68,57,46,16,5,261,98
"hsa-miR-424-5p",110,35,41,71,122,33,50,53,23,1,180,20
"hsa-miR-652-3p",169,125,54,45,88,83,73,99,12,5,134,40
"hsa-miR-138-1-5p",1,0,3,0,0,0,0,0,1,0,0,0
"hsa-miR-3912-3p",32,11,6,10,7,13,6,7,3,0,16,9
"hsa-miR-4683-3p",8,4,17,10,3,6,8,17,2,0,22,0
"hsa-miR-195-3p",5,1,3,3,8,4,7,7,0,0,1,3
"hsa-miR-548x-3p",56,26,41,36,64,38,51,59,0,0,28,16
"hsa-miR-585-3p",7,11,10,7,11,4,5,9,2,0,9,3
"hsa-miR-671-5p",6,4,14,6,13,7,5,9,0,0,31,5
"hsa-miR-218-1-3p",0,0,0,0,6,0,2,1,0,1,1,0
"hsa-miR-5100-3p",1,1,6,2,5,3,5,3,0,4,4,0
"hsa-miR-125a-3p",49,30,43,82,30,38,24,32,11,0,146,4
"hsa-miR-676-3p",4,1,0,0,3,1,0,1,0,1,1,2
"hsa-miR-484-5p",83,59,86,64,67,94,83,100,14,13,825,42
"hsa-miR-27b-5p",13,9,12,7,28,5,8,13,1,0,21,2
"hsa-miR-126-3p",74,65,113,75,188,78,95,129,6,3,272,23
"hsa-miR-7-3-5p",1781,1531,1050,560,800,556,826,1492,160,146,1987,757
"hsa-miR-32-3p",9,5,1,6,8,10,5,16,5,0,12,0
"hsa-miR-216b-5p",1,0,1,0,1,0,2,1,0,0,1,1
"hsa-miR-576-5p",11,18,19,11,34,25,14,26,2,4,7,4
"hsa-miR-6516-3p",2,0,1,2,3,1,4,6,0,0,9,0
"hsa-miR-1304-5p",9,4,9,4,2,3,0,5,2,0,20,1
"hsa-miR-29a-3p",4359,3145,5519,4371,6710,5828,6906,8290,596,22,7295,1907
"hsa-miR-548f-1-3p",13,9,0,1,1,3,3,3,0,0,4,3
"hsa-miR-16-1-5p",176,142,210,123,201,141,138,254,33,7,553,68
"hsa-let-7a-3-3p",511,250,210,228,230,192,173,216,77,4,689,130
"hsa-miR-140-3p",146,119,39,56,81,133,50,92,20,18,123,45
"hsa-miR-30a-3p",749,418,780,394,495,397,610,461,95,14,853,129
"hsa-miR-651-5p",78,200,14,42,32,59,20,54,16,0,32,53
"hsa-miR-182-3p",4,0,6,8,5,0,5,5,1,0,13,2
"hsa-miR-181b-1-5p",694,479,870,832,285,413,368,569,109,15,1817,323
"hsa-miR-196a-2-5p",260,207,185,220,200,178,74,217,28,2,503,56
