"HEK_Pellet_SDPR_1"	"HEK_Pellet_PRTF_1"	"HEK_Pellet_CAV_1"	"HEK_Pellet_PN4.11_1"	"HEK_Pellet_PRKCA4_1"	"HEK_Pellet_SDPR_2"	"HEK_Pellet_PRTF_2"	"HEK_Pellet_CAV_2"	"HEK_Pellet_PN4.11_2"	"HEK_Pellet_PRKCA4_2"	"HEK_Pellet_SDPR_3"	"HEK_Pellet_PRTF_3"
"hsa-miR-548h-3-3p"	25.0104709191555	44.1103177107037	18.615863840173	18.5324251419789	0	0	23.9215786418742	23.8672357938774	17.012706277496	29.9860059762323	28.9759584011222	57.8513066698443
"hsa-miR-24-2-5p"	7.50314127574664	7.01755054488467	8.22561425496017	8.42382960999043	0	0	10.7017588661016	7.07177356855625	5.23467885461414	11.2447522410871	8.7805934548855	4.9586834288438
"hsa-miR-29c-5p"	32.5136121949021	33.0827382830277	9.52439545311178	11.7933614539866	0	0	22.6625481870387	22.0992924017383	20.9387154184566	38.9818077691019	24.5856616736794	64.4628845749694
"hsa-miR-219a-1-3p"	5.83577654780294	28.0702021795387	9.52439545311178	14.0397160166507	0	0	22.6625481870387	17.6794339213906	17.6670411343227	14.9930029881161	28.0978990556336	19.8347337153752
"hsa-miR-23b-5p"	0	5.01253610348905	4.32927066050535	7.30065232865837	0	0	13.2198197757726	2.6519150882086	2.61733942730707	8.24615164346387	7.90253410939695	3.30578895256253
"hsa-miR-744-3p"	29.1788827390147	52.1303754762861	24.24391569883	30.8873752366316	0	0	25.1806090967097	41.546669715268	22.9017199889369	31.4853062750439	18.4392462552596	31.4049950493441
"hsa-let-7d-3p"	0.833682363971849	4.01002888279124	1.29878119815161	2.80794320333014	740.557942566723	440.734448807717	2.51806090967097	0.883971696069532	3.27167428413384	5.99720119524645	0.87805934548855	4.9586834288438
"hsa-miR-4473-5p"	0.833682363971849	5.01253610348905	3.89634359445482	3.36953184399617	0	88.1468897615434	4.4066065919242	0	2.61733942730707	0	9.65865280037406	1.65289447628127
"hsa-miR-502-5p"	17.5073296434088	15.0376083104672	10.3902495852128	5.61588640666029	0	0	14.4788502306081	18.5634056174602	19.630045704803	10.4951020916813	14.0489495278168	18.1818392390939
"hsa-miR-106a-5p"	461.860029640404	481.203465934949	1435.58615102358	717.710282771184	1604.54220889457	352.587559046174	378.338651678063	685.078064453887	323.241419272423	517.258603090007	214.246480299206	495.86834288438
"hsa-miR-766-3p"	6.66945891177479	7.01755054488467	6.06097892470749	12.9165387353187	0	0	15.7378806854436	7.07177356855625	3.27167428413384	8.99580179286968	7.90253410939695	18.1818392390939
"hsa-miR-1248-5p"	29.1788827390147	9.02256498628029	1.29878119815161	5.05429776599426	0	0	8.18369795643065	15.9114905292516	8.50635313874798	11.9944023904929	11.4147714913512	19.8347337153752
"hsa-miR-1271-5p"	23.3431061912118	25.0626805174453	47.6219772655589	45.4886798939483	0	0	40.2889745547355	36.2428395388508	42.5317656937399	22.4895044821742	42.1468485834504	8.26447238140633
"hsa-miR-15a-5p"	164.235425702454	86.2156209800117	257.158677234018	234.182463157734	246.852647522241	0	88.132131838484	244.86015981126	89.6438753852672	206.153791086597	89.5620532398321	238.016804584502
"hsa-miR-1296-5p"	231.763697184174	152.381097546067	175.768388816517	218.457981219085	246.852647522241	88.1468897615434	237.327240736489	243.092216419121	172.09006734544	284.117406624801	324.003898485275	408.264935641473
"hsa-miR-93-5p"	7998.34859994592	7461.6612436538	19607.2668214287	10699.3867819692	4073.06868411697	4495.49137783872	8373.81155511081	9677.72212856923	5534.3642190408	8721.42983818715	5357.04006682565	7165.29755467929
"hsa-miR-502-3p"	275.11518011071	330.827382830277	503.494177816773	363.34785051092	0	352.587559046174	383.374773497405	246.628103203399	287.907337003778	381.571926047556	438.151613398787	287.60363887294
"hsa-miR-3677-3p"	1.6673647279437	4.01002888279124	2.16463533025268	5.05429776599426	0	0	3.77709136450646	5.30383017641719	5.88901371144091	4.49790089643484	12.2928308368397	13.2231558102501
"hsa-miR-561-5p"	75.8650951214382	67.1679837867533	29.8719675574869	44.9270912532823	0	0	57.9154009224323	95.4689431755094	38.6057565527793	83.2111665840445	78.147281748481	105.785246482001
"hsa-miR-151a-5p"	253.439438647442	801.003269337551	261.055020828473	462.187451268142	123.42632376112	352.587559046174	548.307763080854	2224.07278731094	442.330363214895	1747.43449826494	283.613168592802	1391.73714902883
"hsa-miR-7641-1-3p"	114.214483864143	72.1805198902424	174.036680552315	84.2382960999043	370.278971283361	264.44066928463	67.3581293336985	50.3863866759633	54.9641279734485	82.4615164346387	234.441845245443	484.298081550411
"hsa-miR-9-2-3p"	20.8420590992962	7.01755054488467	47.6219772655589	32.0105525179636	0	0	21.4035177322033	15.027518833182	12.4323622797086	22.4895044821742	21.0734242917252	16.5289447628127
"hsa-miR-130a-5p"	10.0041883676622	1.00250722069781	0.432927066050535	0	0	0	2.51806090967097	2.6519150882086	0.654334856826768	4.49790089643484	4.39029672744275	9.9173668576876
"hsa-miR-584-5p"	4.16841181985924	2.00501444139562	3.03048946235375	0.561588640666029	1234.2632376112	264.44066928463	3.77709136450646	0.883971696069532	3.27167428413384	4.49790089643484	6.14641541841985	8.26447238140633
"hsa-miR-423-5p"	2202.58880561362	2325.81675201892	2130.00116496863	2412.02321166059	1974.82118017793	1674.79090546933	3661.89007788901	1924.40638234337	2874.49302603999	2728.72654383714	2435.73662438524	2831.40823786981
"hsa-miR-500a-3p"	563.56927804497	696.742518384978	895.726099658558	579.559477167341	987.410590088964	352.587559046174	788.782579954432	472.9248573972	687.051599668106	568.984463399007	841.180852978031	439.669930690817
"hsa-miR-200c-3p"	12.5052354595777	24.0601732967475	32.9024570198407	18.5324251419789	0	264.44066928463	14.4788502306081	16.7954622253211	11.123692566055	11.9944023904929	55.3177387657787	13.2231558102501
"hsa-miR-629-5p"	757.817268850411	1923.8113565191	972.354190349502	761.514196743135	370.278971283361	881.468897615434	1299.94894461764	1043.97057305812	1014.87336293832	754.148050302241	2232.0268562319	1452.89424465123
"hsa-let-7i-5p"	160.067013882595	232.581675201892	311.274560490335	272.370490723024	3085.65809402801	3878.46314950791	428.070354644065	226.2967541938	285.944332433297	199.406939741945	453.078622272092	363.636784781879
"hsa-miR-548ad-5p"	7.50314127574664	12.0300866483737	12.5548849154655	16.2860705793148	0	0	7.55418272901291	18.5634056174602	6.54334856826767	18.7412537351452	4.39029672744275	13.2231558102501
"hsa-miR-486-1-5p"	34.1809769228458	77.1930559937314	69.7012576341362	64.0211050359272	0	0	88.7616470659017	61.8780187248672	87.0265359579601	37.4825074702903	23.7076023281909	19.8347337153752
"hsa-miR-330-3p"	210.087955720906	322.807325064695	198.713523317196	156.121642105156	246.852647522241	264.44066928463	227.884512325223	233.368527762356	255.190594162439	180.665686006799	405.66341761571	234.71101563194
"hsa-miR-23a-3p"	136.723907691383	100.250722069781	228.585490874683	138.150805603843	3332.51074155025	1939.23157475396	174.375717994715	92.8170280873008	109.27392109007	134.187376743639	227.417370481535	201.653126106314
"hsa-miR-7976-5p"	7.50314127574664	17.0426227518628	11.6890307833645	15.1628932979828	0	0	16.3673959128613	12.3756037449734	7.85201828192121	11.2447522410871	21.9514836372138	8.26447238140633
"hsa-miR-374b-3p"	100.875566040594	130.325938690715	56.7134456526201	51.6661549412746	0	0	94.4272841126614	108.728518616552	71.3224993941177	173.918834662147	124.684427059374	183.471286867221
"hsa-miR-548ay-5p"	18.3410120073807	27.0676949588409	38.5305088784976	31.4489638772976	0	0	30.2167309160516	33.5909244506422	15.7040365638424	33.7342567232613	12.2928308368397	28.0992060967815
"hsa-miR-450a-2-5p"	1049.60609624056	1319.29950243832	434.658774314738	516.09996077208	123.42632376112	264.44066928463	456.398539877863	1091.70504464587	477.010110626713	1574.26531375219	367.028806414214	598.347800413818
"hsa-miR-628-5p"	20.8420590992962	17.0426227518628	29.8719675574869	30.3257865959655	0	0	21.4035177322033	23.8672357938774	16.3583714206692	23.23915463158	27.2198397101451	31.4049950493441
"hsa-miR-21-5p"	39461.5210162435	85147.9507899685	19071.3031136582	17173.9422202078	106270.064758325	149056.39058677	27087.410720558	35218.3163431062	27136.5751823197	28602.1518004291	47445.0586741283	33885.9896582422
"hsa-miR-365b-3p"	238.433156095949	72.1805198902424	104.335422918179	87.6078279439004	0	88.1468897615434	114.571771390029	89.2811413030227	85.0635313874798	158.925831674031	99.2207060402062	218.182070869127
"hsa-let-7f-2-3p"	39.1830711066769	31.0777238416321	14.7195202457182	21.9019569859751	0	88.1468897615434	15.1083654580258	41.546669715268	11.7780274228818	35.2335570220729	20.1953649462367	23.1405226679377
"hsa-miR-1260b-5p"	59.1914478420013	64.1604621246599	93.9451733329662	168.476592199809	0	0	113.312740935194	79.5574526462579	68.7051599668106	143.183178536509	121.17218967742	294.215216778065
"hsa-miR-6747-3p"	22.5094238272399	103.258243731874	19.9146450383246	25.8330774706373	0	0	34.6233375079758	47.7344715877547	36.642751982299	22.4895044821742	14.0489495278168	3.30578895256253
"hsa-miR-181d-5p"	364.319193055698	293.734615664458	216.463533025268	88.7310052252325	370.278971283361	264.44066928463	204.592448910766	409.278895280193	107.31091651959	279.619505728366	78.147281748481	66.1157790512507
"hsa-miR-129-2-5p"	30.0125651029866	152.381097546067	25.9756239630321	25.8330774706373	123.42632376112	0	47.8431572837484	51.2703583720328	36.642751982299	44.9790089643484	57.9519168022443	56.1984121935631
"hsa-miR-582-3p"	235.098426640061	735.840299992193	152.823254315839	155.56005346449	863.984266327843	0	290.836035066997	240.440301330913	312.117726706368	314.853062750439	421.468485834504	319.008633922284
