"","HEK_Pellet_SDPR_1","HEK_Pellet_PRTF_1","HEK_Pellet_CAV_1","HEK_Pellet_PN4.11_1","HEK_Pellet_PRKCA4_1","HEK_Pellet_SDPR_2","HEK_Pellet_PRTF_2","HEK_Pellet_CAV_2","HEK_Pellet_PN4.11_2","HEK_Pellet_PRKCA4_2","HEK_Pellet_SDPR_3","HEK_Pellet_PRTF_3","HEK_Pellet_CAV_3","HEK_Pellet_PN4.11_3","HEK_Pellet_PRKCA4_3"
"hsa-miR-3182-5p",129,55,64,58,1,2,60,60,85,67,143,137,303,77,105
"hsa-miR-5001-3p",5,11,15,21,0,0,13,13,15,9,10,7,18,9,14
"hsa-miR-221-3p",2123,2552,5342,2593,105,74,3912,2734,2668,1918,2630,795,3740,2082,1637
"hsa-miR-99a-3p",20,13,17,18,1,0,19,20,11,32,8,8,8,11,21
"hsa-miR-5696-3p",8,18,18,11,0,0,13,12,12,17,16,2,9,7,10
"hsa-miR-146a-5p",8,10,9,8,0,1,6,3,11,4,5,2,10,6,2
"hsa-miR-7641-1-5p",204,54,44,24,1,1,118,90,67,82,82,38,59,80,52
"hsa-miR-320d-1-3p",37,22,89,76,6,0,64,26,42,33,30,18,42,36,41
"hsa-miR-449a-5p",23,26,31,47,0,0,13,45,12,16,1,6,5,14,9
"hsa-miR-548a-2-3p",1,1,11,8,0,0,4,3,1,6,5,2,4,1,2
"hsa-miR-548h-2-5p",42,65,31,39,0,0,45,47,32,73,42,48,35,59,35
"hsa-miR-6516-5p",7,11,19,26,0,0,8,6,7,10,2,4,6,4,6
"hsa-miR-1976-3p",3,2,11,6,0,0,4,1,6,4,3,1,1,4,2
"hsa-miR-3609-3p",6,6,14,5,0,0,11,0,4,2,7,1,3,0,4
"hsa-miR-200b-5p",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-1303-3p",91,179,163,102,4,2,143,158,150,90,348,76,222,144,54
"hsa-miR-3607-3p",102,22,74,80,1,0,82,68,63,54,36,34,52,45,35
"hsa-miR-320a-3p",3836,3157,14090,10152,57,87,11264,3592,8452,4203,5101,2045,7952,4995,3632
"hsa-miR-342-5p",12,17,33,26,0,0,28,18,22,11,11,6,31,19,14
"hsa-miR-532-3p",57,18,154,143,0,0,105,40,100,81,73,23,96,76,56
"hsa-miR-200b-3p",34,30,54,54,53,113,51,32,38,30,5,49,50,4,18
"hsa-miR-500b-3p",8,7,33,14,0,0,30,11,19,13,24,8,38,21,7
"hsa-miR-1266-5p",3,9,15,11,0,0,16,9,14,12,17,3,22,16,2
"hsa-miR-30c-1-5p",6808,5465,14007,6390,14,62,8546,5701,6055,5318,4087,1873,6303,5545,2904
"hsa-miR-301b-3p",29,12,115,88,0,0,70,41,57,39,18,13,72,39,31
"hsa-miR-4326-5p",43,101,70,51,0,0,79,60,102,43,120,24,85,78,36
"hsa-miR-589-5p",98,185,235,155,1,2,223,114,230,204,208,86,190,140,94
"hsa-miR-125b-2-5p",433,586,2046,1406,11,14,777,669,585,748,348,202,458,391,295
"hsa-miR-449c-5p",143,206,175,109,0,0,123,179,241,74,98,23,153,76,32
"hsa-miR-95-3p",171,399,232,138,0,1,255,190,225,184,85,53,187,115,74
"hsa-miR-548f-3-3p",35,64,30,24,0,0,29,17,42,36,60,47,44,47,31
"hsa-miR-7-1-5p",7641,7979,8497,4760,23,77,7981,5141,9955,5485,53958,21519,21112,20114,5966
"hsa-miR-3159-3p",16,14,26,25,0,0,15,15,16,17,8,3,17,6,4
"hsa-miR-129-1-5p",36,152,60,46,1,0,75,58,55,60,66,34,63,42,33
"hsa-miR-652-5p",18,4,32,25,0,0,33,6,33,18,16,7,42,17,23
"hsa-miR-1468-5p",2,12,11,5,0,0,18,10,5,4,5,1,11,1,1
"hsa-miR-132-3p",229,304,392,282,0,2,256,234,264,210,177,122,258,185,151
"hsa-miR-92b-5p",23,30,25,11,0,1,26,26,18,11,25,12,26,21,16
"hsa-miR-192-5p",995,2199,1235,1119,2,5,1396,1155,1511,1129,1634,382,1486,992,562
"hsa-miR-361-3p",482,958,839,496,0,0,794,459,841,430,634,194,753,490,212
"hsa-miR-92a-1-3p",32037,65853,85043,59478,162,270,85661,55984,64644,49547,34390,18546,39895,39611,32899
"hsa-miR-101-2-3p",10256,16381,12967,10371,310,46,11174,10796,13516,15790,6574,6985,11135,14346,10926
"hsa-miR-4532-5p",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"hsa-miR-423-3p",13266,13126,38344,23175,15,50,23403,17065,23195,14402,16210,3614,19079,13280,6954
"hsa-miR-501-5p",133,136,153,103,1,2,134,108,159,84,132,73,190,131,46
"hsa-miR-146b-5p",1686,2261,2393,1256,2,11,2343,1941,2961,1231,1296,431,2025,1402,929
"hsa-miR-3118-3-3p",2,15,43,25,0,0,52,19,34,21,3,3,17,6,15
"hsa-miR-4324-3p",2,1,9,3,0,0,5,4,3,0,2,0,4,3,0
"hsa-miR-548t-3p",14,7,34,11,0,0,7,17,6,17,4,11,3,10,3
"hsa-miR-16-2-5p",1719,554,4623,3861,3,11,2486,1305,1852,2249,1624,2625,2868,3385,3884
"hsa-miR-455-5p",343,580,445,356,0,1,468,417,418,444,140,112,399,320,320
"hsa-miR-194-2-5p",57,47,271,151,0,2,125,55,90,63,95,45,87,89,51
"hsa-miR-548aj-2-5p",2,3,13,4,0,0,5,7,2,6,2,0,4,13,5
"hsa-miR-424-3p",145,217,467,330,1,5,267,314,182,291,187,56,164,183,152
"hsa-miR-17-5p",5569,4052,34488,15027,24,58,8278,7234,7516,6568,3937,2869,7952,8293,5320
"hsa-miR-101-1-3p",13517,22497,17205,13924,444,65,15506,14500,18676,21861,10483,10244,16773,18402,13825
"hsa-miR-7-2-5p",7603,7942,8445,4744,23,77,7948,5122,9897,5462,53868,21472,21015,20048,5950
"hsa-miR-425-5p",1202,833,1330,1038,6,8,1227,879,1239,1109,1522,952,2072,2565,1186
"hsa-miR-96-5p",1439,507,1277,1059,1,7,814,820,657,1125,553,467,885,1214,848
"hsa-miR-501-3p",429,340,941,467,1,4,681,286,595,434,579,207,511,503,319
"hsa-miR-550a-1-5p",19,33,62,73,1,0,61,23,47,46,73,24,58,43,22
"hsa-miR-183-3p",7,9,49,18,0,0,14,11,11,22,13,6,12,10,6
"hsa-miR-940-3p",11,3,18,14,0,0,15,3,9,15,13,12,12,22,22
"hsa-miR-138-2-5p",71,18,63,30,0,0,38,31,30,31,28,23,30,74,47
"hsa-miR-4791-5p",323,348,783,492,1,3,410,244,542,413,247,224,350,187,277
"hsa-miR-3195-5p",7,3,21,17,0,0,31,17,25,26,3,0,15,0,0
"hsa-let-7a-2-5p",3521,4891,17506,8577,104,127,13358,5346,5325,3655,3180,1097,4858,2697,1746
"hsa-miR-103a-2-3p",9301,12747,99231,34708,79,231,21495,10703,19789,11596,12296,4420,20808,13965,8156
"hsa-miR-548p-3p",12,26,12,10,0,0,15,12,12,21,18,21,15,20,11
"hsa-miR-873-5p",0,0,6,5,1,0,5,0,2,2,0,2,1,1,1
"hsa-miR-106b-3p",780,1173,2217,1751,22,3,2656,1002,2441,1251,1780,431,1707,1020,969
"hsa-miR-548aa-2-3p",15,7,34,11,0,0,7,17,6,17,4,11,3,10,3
"hsa-miR-26a-2-3p",35,29,9,11,0,0,23,31,23,28,6,20,9,15,24
"hsa-miR-548f-2-3p",36,64,30,24,0,0,29,17,42,36,60,47,44,49,31
"hsa-miR-25-3p",8531,20454,20558,15717,47,68,39884,15944,27893,13810,18592,4950,23819,11044,9193
