"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_PRTF_2","HEK_Exosome_SDPR_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_PRTF_3","HEK_Exosome_SDPR_3"
"hsa-miR-2110-3p",9,6,4,9,3,2,0,0,1,1,0,1
"hsa-miR-3928-3p",18,10,2,7,1,7,2,3,2,9,0,1
"hsa-miR-409-3p",7,3,6,3,2,2,3,0,3,2,0,0
"hsa-miR-222-5p",1,2,5,8,2,3,0,0,2,5,0,1
"hsa-miR-4664-3p",14,3,12,4,19,2,14,2,2,1,0,1
"hsa-let-7e-5p",46,106,60,111,50,16,15,11,32,45,3,5
"hsa-miR-532-5p",2960,2287,2380,1771,3231,659,1257,466,371,794,30,145
"hsa-miR-574-3p",4,14,2,6,3,3,4,1,2,3,0,0
"hsa-miR-6131-3p",495,464,60,481,168,657,210,9,320,483,3,10
"hsa-miR-3613-5p",73,107,134,117,177,20,80,12,29,30,1,13
"hsa-miR-10a-5p",24086,16679,11541,17124,19367,2750,4108,1320,3394,5166,289,1236
"hsa-miR-331-3p",27,13,11,28,13,3,2,1,5,5,1,1
"hsa-miR-378d-2-5p",300,111,214,170,161,74,78,24,43,63,0,5
"hsa-miR-4419a-3p",29,22,0,13,4,11,1,0,8,9,0,0
"hsa-miR-186-5p",979,818,569,977,784,507,506,168,325,454,10,46
"hsa-miR-217-5p",47,33,11,46,18,6,9,0,2,3,0,0
"hsa-miR-3934-5p",8,3,0,1,1,1,2,0,0,1,0,0
"hsa-miR-331-5p",58,50,12,25,8,13,2,2,7,8,0,1
"hsa-miR-24-2-3p",3052,2295,465,2213,584,307,86,91,92,247,6,19
"hsa-miR-1268a-5p",3,4,0,4,0,2,3,0,5,4,0,0
"hsa-miR-375-3p",31,11,22,54,21,7,8,5,2,6,6,13
"hsa-miR-548aq-3p",15,16,9,14,12,4,9,3,4,11,0,0
"hsa-miR-4497-5p",11,104,8,50,13,27,13,13,25,71,0,2
"hsa-miR-598-3p",76,90,45,68,72,25,23,9,19,28,0,3
"hsa-let-7c-5p",116,146,86,157,112,42,76,21,39,67,6,12
"hsa-miR-4459-3p",5,8,1,1,3,4,4,1,3,4,0,2
"hsa-miR-25-5p",16,39,23,54,11,10,5,3,14,21,0,0
"hsa-miR-421-3p",233,170,96,228,96,63,19,16,41,62,0,3
"hsa-miR-4677-3p",15,16,3,13,7,1,1,0,0,2,0,0
"hsa-miR-93-3p",36,33,7,34,8,15,3,1,13,11,0,0
"hsa-miR-98-5p",12,24,4,47,2,5,3,5,8,8,1,5
"hsa-let-7a-1-3p",84,52,57,49,136,9,15,14,14,22,2,8
"hsa-miR-149-5p",20,44,14,20,22,7,2,2,13,16,0,2
